James Blake=Blake
Jan Kodeš=Kodeš
Jan Siemerink=Siemerink
Jana Novotná=Novotná
Janet Newberry=Newberry
Janko Tipsarević=Tipsarević
Jan-Michael Gambill=Gambill
Jarkko Nieminen=Nieminen
Jason Stoltenberg=Stoltenberg
Javier Sánchez=Sánchez
Jay Berger=Berger
Jelena Dokic=Dokic
Jelena Dokić=Dokić
Jelena Janković=Janković
Jeļena Ostapenko=Ostapenko
Jennifer Capriati=Capriati
Jennifer Mundel=Mundel
Jerzy Janowicz=Janowicz
Jim Courier=Courier
Jimmy Arias=Arias
Jimmy Connors=Connors
Jo Durie=Durie
Joachim Johansson=Johansson
Joakim Nyström=Nyström
JoAnne Russell=Russell
Johan Kriek=Kriek
Johanna Konta=Konta
John Andrews=Andrews
John Isner=Isner
John Lloyd=Lloyd
John McEnroe=McEnroe
John Newcombe=Newcombe
John Sadri=Sadri
Jonas Björkman=Björkman
Jonas Svensson=Svensson
José Higueras=Higueras
José Luis Clerc=Clerc
Jo-Wilfried Tsonga=Tsonga
Joyce Williams=Williams
Juan Carlos Ferrero=Ferrero
Juan Ignacio Chela=Chela
Juan Martín del Potro=del Potro
Judith Wiesner=Wiesner
Judy Tegart=Tegart
Julie Halard=Halard
Julie Heldman=Heldman
Julien Benneteau=Benneteau
Jürgen Fassbender=Fassbender
Jürgen Melzer=Melzer
Justine Henin=Henin
Kaia Kanepi=Kanepi
Karel Nováček=Nováček
Karen Krantzcke=Krantzcke
Karina Habšudová=Habšudová
Karol Kučera=Kučera
Karolína Plíšková=Plíšková
Karolina Šprem=Šprem
Katerina Maleeva=Maleeva
Kateryna Bondarenko=Bondarenko
Kathy Horvath=Horvath
Kathy Jordan=Jordan
Kathy Kuykendall=Kuykendall
Kathy May=May
Kathy Rinaldi=Rinaldi
Katja Ebbinghaus=Ebbinghaus
Kazuko Sawamatsu=Sawamatsu
Kei Nishikori=Nishikori
Ken Rosewall=Rosewall
Kerry Reid=Reid
Kevin Anderson=Anderson
Kevin Curren=Curren
Kiki Bertens=Bertens
Kim Clijsters=Clijsters
Kim Warwick=Warwick
Kimiko Date=Date
Kirsten Flipkens=Flipkens
Kristina Mladenovic=Mladenovic
Larisa Neiland=Neiland
Larisa Savchenko=Savchenko
Laura Arraya=Arraya
Laura duPont=Laura duPont
Laura Golarsa=Golarsa
Leila Meskhi=Meskhi
Lesley Bowrey=Bowrey
Lesley Hunt=Hunt
Lesley Turner Bowrey=Bowrey
Li Na=Li
Linda Tuero=Tuero
Linda Wild=Wild
Lindsay Davenport=Davenport
Linky Boshoff=Boshoff
Lisa Bonder=Bonder
Lisa Raymond=Raymond
Lleyton Hewitt=Hewitt
Lori McNeil=McNeil
Lu Yen-hsun=Lu
Lucas Pouille=Pouille
Lucia Romanov=Romanov
Lucie Šafářová=Šafářová
Łukasz Kubot=Kubot
Madison Keys=Keys
Magdalena Maleeva=Maleeva
Magnus Larsson=Larsson
Magnus Norman=Norman
Magüi Serna=Serna
MaliVai Washington=Washington
Manon Bollegraf=Bollegraf
Manuel Orantes=Orantes
Manuela Maleeva=Maleeva
Marat Safin=Safin
Marc Rosset=Rosset
Marcelo Filippini=Filippini
Marcelo Ríos=Ríos
Marcos Baghdatis=Baghdatis
Mardy Fish=Fish
Margaret Court=Court
Maria Bueno=Bueno
Maria Kirilenko=Kirilenko
Maria Sharapova=Sharapova
Mariano Puerta=Puerta
Mariano Zabaleta=Zabaleta
Marie Pinterova=Pinterova
Marijke Schaar=Schaar
Marin Čilić=Čilić
Mario Ančić=Ančić
Marion Bartoli=Bartoli
Marise Kruger=Kruger
Mark Dickson=Dickson
Mark Edmondson=Edmondson
Mark Philippoussis=Philippoussis
Marta Marrero=Marrero
Martín Jaite=Jaite
Martin Mulligan=Mulligan
Martin Verkerk=Verkerk
Martina Hingis=Hingis
Martina Navratilova=Navratilova
Marty Riessen=Riessen
Mary Joe Fernández=Fernández
Mary Pierce=Pierce
Maryna Godwin=Godwin
Mats Wilander=Wilander
Max Mirnyi=Mirnyi
